,scaler,fs_model,fs_m,pca_n,tot_n_features,max_depth,n_estimators,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
0,RobustScaler,ExtraTreesClf_10,50,0,50,5,500,0.5368846157486977,0.365519906040632,0.9444901563083381,0.7989131787079001
1,RobustScaler,ExtraTreesClf_10,50,0,50,5,750,0.5355579241179868,0.3610422686636264,0.9456847193210829,0.7985826001955034
2,RobustScaler,ExtraTreesClf_10,50,0,50,5,1000,0.5374704571083628,0.36757015003241966,0.9458086862632318,0.802780147516218
3,RobustScaler,ExtraTreesClf_10,50,0,50,10,500,0.950284169777839,0.5198085729283449,0.9994628099173555,0.7216719985781569
4,RobustScaler,ExtraTreesClf_10,50,0,50,10,750,0.9435025677404325,0.5198085729283449,0.9993801652892562,0.7216719985781569
5,RobustScaler,ExtraTreesClf_10,50,0,50,10,1000,0.9482258785712555,0.5111618903686671,0.9994352617079889,0.7174640095974407
6,RobustScaler,ExtraTreesClf_10,50,0,50,20,500,1.0,0.5090041798831588,1.0,0.6689933795432329
7,RobustScaler,ExtraTreesClf_10,50,0,50,20,750,1.0,0.5090041798831588,1.0,0.6689933795432329
8,RobustScaler,ExtraTreesClf_10,50,0,50,20,1000,1.0,0.500466471867423,1.0,0.6648267128765663
9,RobustScaler,ExtraTreesClf_10,50,0,50,None,500,1.0,0.5009342502790476,1.0,0.6648267128765663
10,RobustScaler,ExtraTreesClf_10,50,0,50,None,750,1.0,0.500466471867423,1.0,0.6648267128765663
11,RobustScaler,ExtraTreesClf_10,50,0,50,None,1000,1.0,0.49137956412268663,1.0,0.6606600462098996
12,RobustScaler,ExtraTreesClf_10,50,5,55,5,500,0.5168963617526335,0.3741327819726746,0.9426619844801662,0.8154249977783703
13,RobustScaler,ExtraTreesClf_10,50,5,55,5,750,0.5140082608282972,0.3784271900331531,0.9412057134784407,0.8195916644450367
14,RobustScaler,ExtraTreesClf_10,50,5,55,5,1000,0.5135297657492272,0.37736572977830907,0.9398734094188639,0.8156729316626679
15,RobustScaler,ExtraTreesClf_10,50,5,55,10,500,0.8736992400596736,0.4706522834023908,0.9984435261707989,0.7208868746112147
16,RobustScaler,ExtraTreesClf_10,50,5,55,10,750,0.8761672739308245,0.47964241265927965,0.9984710743801652,0.7210108415533635
17,RobustScaler,ExtraTreesClf_10,50,5,55,10,1000,0.8901728374184961,0.4833250029556906,0.9986776859504132,0.7170094641428952
18,RobustScaler,ExtraTreesClf_10,50,5,55,20,500,1.0,0.5149456161702131,1.0,0.6689002932551319
19,RobustScaler,ExtraTreesClf_10,50,5,55,20,750,1.0,0.5149456161702131,1.0,0.6689002932551319
20,RobustScaler,ExtraTreesClf_10,50,5,55,20,1000,1.0,0.5149456161702131,1.0,0.6689002932551319
21,RobustScaler,ExtraTreesClf_10,50,5,55,None,500,1.0,0.4985023851537833,1.0,0.6605669599217986
22,RobustScaler,ExtraTreesClf_10,50,5,55,None,750,1.0,0.5027136919410223,1.0,0.6606082822358482
23,RobustScaler,ExtraTreesClf_10,50,5,55,None,1000,1.0,0.5027136919410223,1.0,0.6606082822358482
24,RobustScaler,ExtraTreesClf_10,50,10,60,5,500,0.5046085060927502,0.3710644914959431,0.9368093522638977,0.8153010308362215
25,RobustScaler,ExtraTreesClf_10,50,10,60,5,750,0.5034947330528405,0.371309612438666,0.9341432557341647,0.8153010308362214
26,RobustScaler,ExtraTreesClf_10,50,10,60,5,1000,0.5042780119418022,0.3729883164546469,0.9328935963026872,0.8154249977783703
27,RobustScaler,ExtraTreesClf_10,50,10,60,10,500,0.8774445080357227,0.45917926596974595,0.9985123966942149,0.7168132942326491
28,RobustScaler,ExtraTreesClf_10,50,10,60,10,750,0.872843314502896,0.46918204210843145,0.9984435261707989,0.7169785834888476
29,RobustScaler,ExtraTreesClf_10,50,10,60,10,1000,0.8824339022529986,0.4604881309473309,0.9985812672176309,0.7087278947836132
30,RobustScaler,ExtraTreesClf_10,50,10,60,20,500,1.0,0.5295929798719164,1.0,0.6772336265884653
31,RobustScaler,ExtraTreesClf_10,50,10,60,20,750,1.0,0.5224465242033138,1.0,0.6730669599217985
32,RobustScaler,ExtraTreesClf_10,50,10,60,20,1000,1.0,0.5064139495983474,1.0,0.6647336265884652
33,RobustScaler,ExtraTreesClf_10,50,10,60,None,500,1.0,0.5266638724344229,1.0,0.6731082822358482
34,RobustScaler,ExtraTreesClf_10,50,10,60,None,750,1.0,0.5191629644013223,1.0,0.6689416155691815
35,RobustScaler,ExtraTreesClf_10,50,10,60,None,1000,1.0,0.5106252563855864,1.0,0.6647749489025149
36,RobustScaler,ExtraTreesClf_10,100,0,100,5,500,0.5648544765223878,0.39646393464650526,0.9584360084360084,0.8161170354572114
37,RobustScaler,ExtraTreesClf_10,100,0,100,5,750,0.5607889634851658,0.3888721731036864,0.9568006740734014,0.815455878432418
38,RobustScaler,ExtraTreesClf_10,100,0,100,5,1000,0.5748269921069684,0.40090719810411307,0.9563361386088659,0.8201906158357772
39,RobustScaler,ExtraTreesClf_10,100,0,100,10,500,0.9646520828438752,0.5456182663573413,0.9996280991735537,0.7303050297698392
40,RobustScaler,ExtraTreesClf_10,100,0,100,10,750,0.9634560338765645,0.543832405282471,0.9996143250688705,0.7262210077312716
41,RobustScaler,ExtraTreesClf_10,100,0,100,10,1000,0.96598441978908,0.5501129774248159,0.9996418732782368,0.7263036523593709
42,RobustScaler,ExtraTreesClf_10,100,0,100,20,500,1.0,0.5091629841975688,1.0,0.6691277881453835
43,RobustScaler,ExtraTreesClf_10,100,0,100,20,750,1.0,0.5091629841975688,1.0,0.6691277881453835
44,RobustScaler,ExtraTreesClf_10,100,0,100,20,1000,1.0,0.5138926909761252,1.0,0.6691691104594331
45,RobustScaler,ExtraTreesClf_10,100,0,100,None,500,1.0,0.48839646722265284,1.0,0.6528125833111169
46,RobustScaler,ExtraTreesClf_10,100,0,100,None,750,1.0,0.4916486367471683,1.0,0.6568035190615835
47,RobustScaler,ExtraTreesClf_10,100,0,100,None,1000,1.0,0.4916486367471683,1.0,0.6568035190615835
48,RobustScaler,ExtraTreesClf_10,100,5,105,5,500,0.5390654708208361,0.3732705689951908,0.9541360659542477,0.8116819959122012
49,RobustScaler,ExtraTreesClf_10,100,5,105,5,750,0.5405642346874681,0.38079853784818996,0.9555096923278742,0.8197569537012352
50,RobustScaler,ExtraTreesClf_10,100,5,105,5,1000,0.5447256195456266,0.3813030778815952,0.9531067921977013,0.8159208655469652
51,RobustScaler,ExtraTreesClf_10,100,5,105,10,500,0.9209927245019459,0.495960073296768,0.9991046831955923,0.7093994934684085
52,RobustScaler,ExtraTreesClf_10,100,5,105,10,750,0.9210347440570137,0.48837703588335146,0.9991046831955923,0.7052328268017418
53,RobustScaler,ExtraTreesClf_10,100,5,105,10,1000,0.926371348875425,0.48254487407288527,0.9991735537190083,0.6970234604105572
54,RobustScaler,ExtraTreesClf_10,100,5,105,20,500,1.0,0.49488007119801736,1.0,0.6606600462098995
55,RobustScaler,ExtraTreesClf_10,100,5,105,20,750,1.0,0.5028993792224357,1.0,0.6648267128765661
56,RobustScaler,ExtraTreesClf_10,100,5,105,20,1000,1.0,0.49310140714310896,1.0,0.6568035190615835
57,RobustScaler,ExtraTreesClf_10,100,5,105,None,500,1.0,0.4703419719205172,1.0,0.6484288634142006
58,RobustScaler,ExtraTreesClf_10,100,5,105,None,750,1.0,0.4993238250741794,1.0,0.6608357771260998
59,RobustScaler,ExtraTreesClf_10,100,5,105,None,1000,1.0,0.49730785890510365,1.0,0.6568448413756331
60,RobustScaler,ExtraTreesClf_10,100,10,110,5,500,0.5340090820005593,0.39377932200309834,0.9526522467431559,0.8244916911045943
61,RobustScaler,ExtraTreesClf_10,100,10,110,5,750,0.53238983269946,0.3906362961870196,0.9499600904146357,0.8205420776681773
62,RobustScaler,ExtraTreesClf_10,100,10,110,5,1000,0.5343639291073671,0.3953143537564448,0.952666020847839,0.8245743357326936
63,RobustScaler,ExtraTreesClf_10,100,10,110,10,500,0.9184107383320808,0.5037099884627919,0.9990633608815427,0.713566160135075
64,RobustScaler,ExtraTreesClf_10,100,10,110,10,750,0.9176075006238594,0.5004887340264995,0.9990495867768595,0.7094408157824581
65,RobustScaler,ExtraTreesClf_10,100,10,110,10,1000,0.9226403249710298,0.5054025828752997,0.9991184573002756,0.7095234604105571
66,RobustScaler,ExtraTreesClf_10,100,10,110,20,500,1.0,0.49590743273747173,1.0,0.6607944548120501
67,RobustScaler,ExtraTreesClf_10,100,10,110,20,750,1.0,0.5035156253738287,1.0,0.6649611214787168
68,RobustScaler,ExtraTreesClf_10,100,10,110,20,1000,1.0,0.5026182813452855,1.0,0.6649611214787168
69,RobustScaler,ExtraTreesClf_10,100,10,110,None,500,1.0,0.5106100980392143,1.0,0.6609184217541988
70,RobustScaler,ExtraTreesClf_10,100,10,110,None,750,1.0,0.49464440123041353,1.0,0.652719497023016
71,RobustScaler,ExtraTreesClf_10,100,10,110,None,1000,1.0,0.49631507457145435,1.0,0.6568448413756331
72,RobustScaler,ExtraTreesClf_10,150,0,150,5,500,0.5363738545198454,0.37319070517652175,0.9705115591479228,0.8226839509464142
73,RobustScaler,ExtraTreesClf_10,150,0,150,5,750,0.5411051890151771,0.3904757636637825,0.9734821743912653,0.8353801208566605
74,RobustScaler,ExtraTreesClf_10,150,0,150,5,1000,0.5489058340175625,0.37862636309795455,0.9738540752177115,0.8230971740869102
75,RobustScaler,ExtraTreesClf_10,150,0,150,10,500,0.9399553832532539,0.5482675688129579,0.9993388429752066,0.7386074824491247
76,RobustScaler,ExtraTreesClf_10,150,0,150,10,750,0.945125876631441,0.5505023757519426,0.9993939393939394,0.7386488047631743
77,RobustScaler,ExtraTreesClf_10,150,0,150,10,1000,0.9489283880925021,0.5432561882257685,0.9994352617079889,0.7303567937438906
78,RobustScaler,ExtraTreesClf_10,150,0,150,20,500,1.0,0.5367716428398379,1.0,0.6816691104594331
79,RobustScaler,ExtraTreesClf_10,150,0,150,20,750,1.0,0.5295201916369005,1.0,0.6775024437927664
80,RobustScaler,ExtraTreesClf_10,150,0,150,20,1000,1.0,0.5248990524397616,1.0,0.6774611214787168
81,RobustScaler,ExtraTreesClf_10,150,0,150,None,500,1.0,0.5138578666363068,1.0,0.6693035190615835
82,RobustScaler,ExtraTreesClf_10,150,0,150,None,750,1.0,0.5219119990005435,1.0,0.6733357771260997
83,RobustScaler,ExtraTreesClf_10,150,0,150,None,1000,1.0,0.5138926909761252,1.0,0.6691691104594331
84,RobustScaler,ExtraTreesClf_10,150,5,155,5,500,0.5464163422254418,0.38597861524199295,0.9715431285885832,0.8279249977783703
85,RobustScaler,ExtraTreesClf_10,150,5,155,5,750,0.5446503336634223,0.3975139006794237,0.9701557281102736,0.8364649426819515
86,RobustScaler,ExtraTreesClf_10,150,5,155,5,1000,0.5501805798385229,0.397602995628969,0.9691677766677766,0.8327632631298321
87,RobustScaler,ExtraTreesClf_10,150,5,155,10,500,0.920771549655291,0.5287821116703884,0.999090909090909,0.7261488047631742
88,RobustScaler,ExtraTreesClf_10,150,5,155,10,750,0.9254601370610586,0.5262207544135934,0.9991460055096419,0.7261074824491247
89,RobustScaler,ExtraTreesClf_10,150,5,155,10,1000,0.928623382788363,0.5355040019738441,0.9991873278236916,0.7302741491157914
90,RobustScaler,ExtraTreesClf_10,150,5,155,20,500,1.0,0.5333041620037053,1.0,0.68561872389585
91,RobustScaler,ExtraTreesClf_10,150,5,155,20,750,1.0,0.5391541640561189,1.0,0.6856600462098995
92,RobustScaler,ExtraTreesClf_10,150,5,155,20,1000,1.0,0.5255221560934544,1.0,0.6815864658313339
93,RobustScaler,ExtraTreesClf_10,150,5,155,None,500,1.0,0.5219119990005435,1.0,0.6733357771260997
94,RobustScaler,ExtraTreesClf_10,150,5,155,None,750,1.0,0.5219119990005435,1.0,0.6733357771260997
95,RobustScaler,ExtraTreesClf_10,150,5,155,None,1000,1.0,0.51723291380168,1.0,0.6732944548120502
96,RobustScaler,ExtraTreesClf_10,150,10,160,5,500,0.5400013651685096,0.39735754100060705,0.9699215683306592,0.8403423531502711
97,RobustScaler,ExtraTreesClf_10,150,10,160,5,750,0.5397160392599898,0.38940692076062644,0.9685754901663993,0.8320503421309873
98,RobustScaler,ExtraTreesClf_10,150,10,160,5,1000,0.5394461172088693,0.3896485680865032,0.9685754901663992,0.8320503421309873
99,RobustScaler,ExtraTreesClf_10,150,10,160,10,500,0.9091787932607626,0.510753027851622,0.9989531680440771,0.7136488047631743
100,RobustScaler,ExtraTreesClf_10,150,10,160,10,750,0.9187989703654765,0.49378586877703257,0.999077134986226,0.7093581711543588
101,RobustScaler,ExtraTreesClf_10,150,10,160,10,1000,0.9234372404146205,0.5166064460899494,0.9991322314049587,0.7137314493912734
102,RobustScaler,ExtraTreesClf_10,150,10,160,20,500,1.0,0.5301432952905932,1.0,0.6816277881453834
103,RobustScaler,ExtraTreesClf_10,150,10,160,20,750,1.0,0.5373947464935307,1.0,0.6857944548120501
104,RobustScaler,ExtraTreesClf_10,150,10,160,20,1000,1.0,0.5451767524037816,1.0,0.6898267128765663
105,RobustScaler,ExtraTreesClf_10,150,10,160,None,500,1.0,0.5295201916369005,1.0,0.6775024437927664
106,RobustScaler,ExtraTreesClf_10,150,10,160,None,750,1.0,0.5295201916369005,1.0,0.6775024437927664
107,RobustScaler,ExtraTreesClf_10,150,10,160,None,1000,1.0,0.5234820254417395,1.0,0.6774611214787167
108,RobustScaler,ExtraTreesClf_10,200,0,200,5,500,0.5309634080885892,0.38737333851735667,0.9731087851542397,0.8395159068692792
109,RobustScaler,ExtraTreesClf_10,200,0,200,5,750,0.5384017194295563,0.3881500423075746,0.973618427027518,0.8357211410290589
110,RobustScaler,ExtraTreesClf_10,200,0,200,5,1000,0.547610040340959,0.3856147697183451,0.974114294796113,0.8278010308362214
111,RobustScaler,ExtraTreesClf_10,200,0,200,10,500,0.9298213548409886,0.5288838851982334,0.9992011019283746,0.7301501821736426
112,RobustScaler,ExtraTreesClf_10,200,0,200,10,750,0.9295119324850118,0.5372998631596658,0.9992011019283746,0.7343581711543588
113,RobustScaler,ExtraTreesClf_10,200,0,200,10,1000,0.9372107911149337,0.5486675848954159,0.9992975206611571,0.7344821380965075
114,RobustScaler,ExtraTreesClf_10,200,0,200,20,500,1.0,0.5307334766446771,1.0,0.6816277881453835
115,RobustScaler,ExtraTreesClf_10,200,0,200,20,750,1.0,0.5451767524037816,1.0,0.6898267128765663
116,RobustScaler,ExtraTreesClf_10,200,0,200,20,1000,1.0,0.5385154825549279,1.0,0.6856600462098996
117,RobustScaler,ExtraTreesClf_10,200,0,200,None,500,1.0,0.5203659903357583,1.0,0.6734701857282502
118,RobustScaler,ExtraTreesClf_10,200,0,200,None,750,1.0,0.5203659903357583,1.0,0.6734701857282502
119,RobustScaler,ExtraTreesClf_10,200,0,200,None,1000,1.0,0.5152251681691404,1.0,0.6734288634142007
120,RobustScaler,ExtraTreesClf_10,200,5,205,5,500,0.5486907884896592,0.3866395560695913,0.9716410357319449,0.8240889096241002
121,RobustScaler,ExtraTreesClf_10,200,5,205,5,750,0.550713858072611,0.3966302034234637,0.973069758524304,0.8325462098995823
122,RobustScaler,ExtraTreesClf_10,200,5,205,5,1000,0.5525481147189043,0.39991317434926676,0.9718751955115592,0.8327528214698302
123,RobustScaler,ExtraTreesClf_10,200,5,205,10,500,0.9289276735161385,0.5283587144958231,0.9992011019283747,0.7343168488403093
124,RobustScaler,ExtraTreesClf_10,200,5,205,10,750,0.924825556880238,0.5279051184737802,0.9991460055096419,0.7301501821736426
125,RobustScaler,ExtraTreesClf_10,200,5,205,10,1000,0.9277366659401112,0.5400026861020261,0.9991873278236915,0.7343994934684084
126,RobustScaler,ExtraTreesClf_10,200,5,205,20,500,1.0,0.51897675351677,1.0,0.6772853905625167
127,RobustScaler,ExtraTreesClf_10,200,5,205,20,750,1.0,0.5266428921548516,1.0,0.6814520572291833
128,RobustScaler,ExtraTreesClf_10,200,5,205,20,1000,1.0,0.5266428921548516,1.0,0.6814520572291833
129,RobustScaler,ExtraTreesClf_10,200,5,205,None,500,1.0,0.49152773790425397,1.0,0.6609288634142007
130,RobustScaler,ExtraTreesClf_10,200,5,205,None,750,1.0,0.4926085752668895,1.0,0.6609288634142008
131,RobustScaler,ExtraTreesClf_10,200,5,205,None,1000,1.0,0.49884946637041283,1.0,0.6609701857282502
132,RobustScaler,ExtraTreesClf_10,200,10,210,5,500,0.5348863487305404,0.39803677033010143,0.9696888969616243,0.8403836754643206
133,RobustScaler,ExtraTreesClf_10,200,10,210,5,750,0.5384544589427949,0.3873792808458857,0.971201752792662,0.8318850528747889
134,RobustScaler,ExtraTreesClf_10,200,10,210,5,1000,0.5380207497424133,0.3922513149884088,0.967258448622085,0.8322569537012352
135,RobustScaler,ExtraTreesClf_10,200,10,210,10,500,0.9232948224542962,0.5341838777521448,0.9991184573002755,0.7343994934684084
136,RobustScaler,ExtraTreesClf_10,200,10,210,10,750,0.9242524699280561,0.515757782939669,0.9991322314049587,0.7259835155069759
137,RobustScaler,ExtraTreesClf_10,200,10,210,10,1000,0.9261535121897286,0.5244027684335125,0.999159779614325,0.7219821380965075
138,RobustScaler,ExtraTreesClf_10,200,10,210,20,500,1.0,0.5575906272540929,1.0,0.6939002932551319
139,RobustScaler,ExtraTreesClf_10,200,10,210,20,750,1.0,0.5525548006218102,1.0,0.6938589709410824
140,RobustScaler,ExtraTreesClf_10,200,10,210,20,1000,1.0,0.5451767524037816,1.0,0.6898267128765663
141,RobustScaler,ExtraTreesClf_10,200,10,210,None,500,1.0,0.528334923914497,1.0,0.6773680351906158
142,RobustScaler,ExtraTreesClf_10,200,10,210,None,750,1.0,0.5354813795830995,1.0,0.6815347018572826
